Fecha,Temp_Maxima_C,Temp_Minima_C
2024-12-12,23.2,20.7
2024-12-13,27.9,21.7
2024-12-14,28.7,20.8
2024-12-15,28.9,19.4
2024-12-16,30.2,21.4
2024-12-17,29.9,20.4
2024-12-18,30.2,21.3
2024-12-19,30.4,21.0
2024-12-20,28.4,20.2
2024-12-21,25.4,17.5
2024-12-22,24.1,16.8
2024-12-23,26.9,16.7
2024-12-24,28.7,17.6
2024-12-25,27.7,20.4
2024-12-26,28.2,20.8
2024-12-27,27.5,21.5
2024-12-28,27.2,21.3
2024-12-29,27.2,20.7
2024-12-30,28.6,19.3
2024-12-31,28.5,20.6
2025-01-01,29.2,20.3
2025-01-02,28.5,19.5
2025-01-03,27.4,18.6
2025-01-04,24.5,16.2
2025-01-05,24.5,16.1
2025-01-06,26.6,17.8
2025-01-07,25.9,18.1
2025-01-08,21.3,17.5
2025-01-09,22.7,14.4
2025-01-10,24.3,13.1
2025-01-11,28.3,17.5
2025-01-12,27.9,19.1
2025-01-13,27.7,19.7
2025-01-14,30.4,19.6
2025-01-15,27.4,20.0
2025-01-16,27.3,17.7
2025-01-17,26.5,19.9
2025-01-18,28.3,20.1
2025-01-19,28.9,21.7
2025-01-20,28.2,20.4
2025-01-21,28.8,20.0
2025-01-22,24.3,18.9
2025-01-23,22.9,18.8
2025-01-24,22.7,17.6
2025-01-25,23.1,16.3
2025-01-26,27.7,17.6
2025-01-27,28.1,18.7
2025-01-28,29.4,18.5
2025-01-29,27.7,16.7
2025-01-30,27.6,16.8
2025-01-31,28.8,17.8
2025-02-01,30.3,17.6
2025-02-02,30.7,18.0
2025-02-03,30.0,21.3
2025-02-04,29.5,20.0
2025-02-05,29.1,19.1
2025-02-06,28.3,19.5
2025-02-07,29.0,19.2
2025-02-08,29.6,20.4
2025-02-09,29.0,20.0
2025-02-10,28.8,19.3
2025-02-11,28.4,19.5
2025-02-12,28.8,19.8
2025-02-13,29.7,21.8
2025-02-14,30.3,21.3
2025-02-15,28.6,20.9
2025-02-16,29.0,20.1
2025-02-17,30.4,19.4
2025-02-18,29.5,19.7
2025-02-19,28.5,19.7
2025-02-20,29.5,20.8
2025-02-21,27.0,20.5
2025-02-22,28.2,20.7
2025-02-23,28.4,20.1
2025-02-24,26.9,20.3
2025-02-25,27.1,18.4
2025-02-26,28.2,17.2
2025-02-27,26.7,17.4
2025-02-28,27.9,17.4
2025-03-01,28.3,16.9
2025-03-02,28.7,17.4
2025-03-03,28.9,17.2
2025-03-04,28.6,18.9
2025-03-05,29.2,22.6
2025-03-06,27.7,17.0
2025-03-07,27.2,14.4
2025-03-08,28.5,16.1
2025-03-09,29.2,20.3
2025-03-10,30.1,21.8
2025-03-11,27.4,18.8
2025-03-12,27.2,16.1
2025-03-13,29.1,17.9
2025-03-14,29.5,19.4
2025-03-15,29.8,21.5
2025-03-16,30.2,23.7
2025-03-17,25.4,18.4
2025-03-18,28.2,16.2
2025-03-19,27.4,16.1
